duration,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
23703,0,44,2024-10-21 12:34:00.000,,,2024-10-21 12:34:48.055,2024-10-21 12:34:48.055,44,1.4166666,33.579956,1.7399979,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:35:00.000,9474b22e-e8e7-43ad-9459-127169a3ae42
23262,0,41,2024-10-21 12:35:00.000,,,2024-10-21 12:35:40.394,2024-10-21 12:35:40.394,41,1.3055556,30.369995,1.6200027,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:36:00.000,ad9fec3d-c3ef-4507-959e-9e7821bb132e
21251,0,36,2024-10-21 12:37:00.000,,,2024-10-21 12:37:59.804,2024-10-21 12:37:43.054,36,1.2592064,26.759996,1.4299998,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:38:00.000,db60baa2-ddcd-4bd7-9f69-574988aebc87
42062,0,71,2024-10-21 12:38:00.000,,,2024-10-21 12:38:39.601,2024-10-21 12:38:00.390,71,1.2600229,53.000008,2.8399985,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:39:00.000,0fe496fa-4c9c-4251-83e1-879af66b1621
31069,0,48,2024-10-21 12:39:00.000,,,2024-10-21 12:39:59.570,2024-10-21 12:39:11.965,48,1.1297393,35.1,1.8999999,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:40:00.000,28345160-cc4f-4d09-aee3-c441ab54c001
55150,0,70,2024-10-21 12:40:00.000,,,2024-10-21 12:40:57.175,2024-10-21 12:40:00.205,99,1.2135856,66.93001,5.1899977,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:41:00.000,f777ccef-baaf-4eb6-a444-ed0683dccaf9
60000,0,115,2024-10-21 12:41:00.000,,,2024-10-21 12:41:59.667,2024-10-21 12:41:03.193,115,1.450166,87.009964,4.599997,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:42:00.000,0b4bae97-d872-4838-82f3-68247267d7d3
38286,0,70,2024-10-21 12:42:00.000,,,2024-10-21 12:44:16.881,2024-10-21 12:42:00.230,70,1.3900566,53.22,2.78,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:43:00.000,6949ae13-6fe7-40f0-be37-7f969e98a603
21363,0,36,2024-10-21 12:37:00.000,,,2024-10-21 12:37:59.879,2024-10-21 12:37:45.148,36,1.2413478,26.52002,1.4400253,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:38:00.000,4e490913-ecd5-40e5-bdf7-0f5a9d46ec92
38967,0,70,2024-10-21 12:38:00.000,,,2024-10-21 12:39:53.875,2024-10-21 12:38:00.319,70,1.3388262,52.170044,2.7800064,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:39:00.000,09bc69d6-b2f8-46ab-b9e1-26767054e13d
27364,2,43,2024-10-21 12:39:00.000,,,2024-10-21 12:43:07.721,2024-10-21 12:39:54.122,45,1.221658,33.430054,2.0699997,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:40:00.000,5bbfd29e-75fb-41c2-8d1c-592a1c8c26ac
55395,0,100,2024-10-21 12:40:00.000,,,2024-10-21 12:43:08.049,2024-10-21 12:43:08.049,100,1.3611112,75.400024,4.6800003,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:41:00.000,8901ded7-e37a-4088-8a74-bdac28fc7230
