exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,walk_time,longest_idle_time,datauuid,day_time
,7881,,4762390,,0,2020-10-04 02:03:11.084,,2020-10-03 03:00:02.499,,,,60,1253082,131,,,,6196.5156,,328.3252,b7f2591b-d570-4a06-a7fc-bcfb06e8f99b.extra_data.json,4755990,29760000,b7f2591b-d570-4a06-a7fc-bcfb06e8f99b,2020-10-03 00:00:00.000
,1240,,821282,,0,2019-10-23 02:42:02.080,,2019-10-22 03:00:00.391,,,,60,120000,21,,,,974.3202,,48.58,a9ba7c23-e93a-4a2d-bca9-bb4a84f8f125.extra_data.json,817682,24900000,a9ba7c23-e93a-4a2d-bca9-bb4a84f8f125,2019-10-22 00:00:00.000
,13765,,7323334,,0,2019-07-09 04:00:01.289,,2019-07-08 04:00:00.722,,,,60,2035669,201,,,,12549.64,,763.8982,a781c69d-3c16-4795-b758-684e3541c5f4.extra_data.json,5251935,33060000,a781c69d-3c16-4795-b758-684e3541c5f4,2019-07-08 00:00:00.000
,764,,506117,,0,2020-09-03 04:00:00.652,,2020-09-02 04:00:00.893,,,,60,28014,13,,,,623.94006,,32.33,b4b1e524-24ad-4930-b53b-215c563c56a3.extra_data.json,500917,35340000,b4b1e524-24ad-4930-b53b-215c563c56a3,2020-09-02 00:00:00.000
,455,,302951,,0,2020-06-08 01:31:35.947,,2020-06-07 04:00:01.070,,,,60,32016,8,,,,350.11005,,20.1,cfc522cd-2bc8-4538-9e9e-68f58dba6340.extra_data.json,302151,20700000,cfc522cd-2bc8-4538-9e9e-68f58dba6340,2020-06-07 00:00:00.000
,6925,,4521214,,0,2020-08-25 03:55:03.318,,2020-08-24 04:00:03.161,,,,60,300000,123,,,,5580.401,,298.59995,1a073570-aa58-4ab3-90bd-b2a83bf86409.extra_data.json,4482075,38580000,1a073570-aa58-4ab3-90bd-b2a83bf86409,2020-08-24 00:00:00.000
,2155,,1430977,,0,2020-02-10 03:00:02.398,,2020-02-09 03:00:00.461,,,,60,60000,38,,,,1726.5199,,92.399994,b95b3f9e-7357-4327-8a2e-4dba2f1ba439.extra_data.json,1421377,35700000,b95b3f9e-7357-4327-8a2e-4dba2f1ba439,2020-02-09 00:00:00.000
,2317,,1427819,,0,2019-12-18 02:36:17.385,,2019-12-17 03:00:00.358,,,,60,420000,38,,,,1784.3499,,92.60999,66170c87-195b-45c2-bf94-daaad20f073b.extra_data.json,1425019,30420000,66170c87-195b-45c2-bf94-daaad20f073b,2019-12-17 00:00:00.000
,990,,637209,,0,2019-12-17 03:00:00.577,,2019-12-16 03:00:10.729,,,,60,60000,16,,,,822.3901,,43.24,fbf8d311-9e38-4798-991e-5d4c0a36667f.extra_data.json,611609,40620000,fbf8d311-9e38-4798-991e-5d4c0a36667f,2019-12-16 00:00:00.000
,6620,,4232472,,0,2020-04-08 02:55:36.033,,2020-04-07 04:00:00.596,,,,60,1026981,116,,,,5150.2886,,268.86404,778a8beb-fc2a-4960-be08-42054c41a86b.extra_data.json,4219020,23400000,778a8beb-fc2a-4960-be08-42054c41a86b,2020-04-07 00:00:00.000
,829,,548938,,0,2020-04-10 04:00:01.581,,2020-04-09 04:00:00.403,,,,60,36018,15,,,,659.57007,,34.090004,c910a70e-18c3-4c06-95e5-77956aeeb284.extra_data.json,542938,27660000,c910a70e-18c3-4c06-95e5-77956aeeb284,2020-04-09 00:00:00.000
,5245,,3315434,,0,2020-07-13 03:26:57.699,,2020-07-12 04:00:00.927,,,,60,866121,90,,,,4135.3257,,219.44833,1b94a554-3ef5-4591-9692-c9307106a369.extra_data.json,3281765,25920000,1b94a554-3ef5-4591-9692-c9307106a369,2020-07-12 00:00:00.000
,7664,,4631307,,0,2019-08-15 03:38:00.469,,2019-08-14 04:00:00.570,,,,60,660000,126,,,,5813.3794,,326.75995,73aa9ad3-4976-4a89-84a9-d08a741e0704.extra_data.json,4577023,28020000,73aa9ad3-4976-4a89-84a9-d08a741e0704,2019-08-14 00:00:00.000
