sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,wind_speed_unit,forecast_time,wind_speed
0.0,2018-07-07 16:57:51.583,-30.596481,,OSO. 250,Soleado,0.0,1,TWC,2018-07-07 16:57:51.585,2018-07-07 16:57:51.585,1,-71.18956,19.0,44,UTC-0400,km/h,0.0,11.0
0.0,2020-01-15 16:11:28.866,-33.473427,,OSO. 250,Soleado,0.0,1,TWC,2020-01-15 16:11:28.867,2020-01-15 16:11:28.867,1,-70.623215,29.0,30,UTC-0300,km/h,0.0,5.0
0.0,2018-05-13 18:35:23.293,-33.418266,,S. 190,Niebla,0.0,1,TWC,2018-05-13 18:35:23.299,2018-05-13 18:35:23.299,1,-70.60619,15.0,58,UTC-0400,km/h,0.0,3.0
0.0,2020-01-23 16:08:51.230,-33.455193,,OSO. 240,Soleado,0.0,1,TWC,2020-01-23 16:08:51.232,2020-01-23 16:08:51.232,1,-70.59665,27.0,42,UTC-0300,km/h,0.0,10.0
0.0,2018-05-16 17:10:13.013,-33.430954,,S. 170,Muy nublado,0.0,1,TWC,2018-05-16 17:10:13.017,2018-05-16 17:10:13.017,1,-70.61887,18.0,42,UTC-0400,km/h,0.0,3.0
0.0,2018-07-21 22:56:23.812,-30.596563,,O. 280,Parcialmente nublado,0.0,1,TWC,2018-07-21 22:56:23.814,2018-07-21 22:56:23.814,1,-71.18932,11.0,79,UTC-0400,km/h,0.0,6.0
0.0,2019-03-06 21:37:39.905,-33.50394,,OSO. 240,Soleado,0.0,1,TWC,2019-03-06 21:37:39.909,2019-03-06 21:37:39.909,1,-70.6148,30.0,21,UTC-0300,km/h,0.0,14.0
0.0,2018-10-05 00:17:17.254,-33.429356,,OSO. 250,Parcialmente nublado,0.0,1,TWC,2018-10-05 00:17:17.257,2018-10-05 00:17:17.257,1,-70.61919,18.0,49,UTC-0300,km/h,0.0,8.0
0.0,2018-03-20 15:41:53.485,-33.499928,,OSO. 250,Soleado,0.0,1,TWC,2018-03-20 15:41:53.502,2018-03-20 15:41:53.502,1,-70.611855,23.0,36,UTC-0300,km/h,0.0,5.0
0.0,2019-09-25 16:35:03.767,-33.495937,,SSO. 200,Bruma,0.0,1,TWC,2019-09-25 16:35:03.773,2019-09-25 16:35:03.773,1,-70.606995,24.0,32,UTC-0300,km/h,0.0,8.0
0.0,2021-01-07 14:16:25.239,-30.596415,,O. 260,Soleado,0.0,1,TWC,2021-01-07 14:16:25.243,2021-01-07 14:16:25.243,1,-71.18957,21.0,59,UTC-0300,km/h,0.0,14.0
0.0,2019-07-13 23:14:22.133,-30.598278,,O. 260,Despejado,0.0,1,TWC,2019-07-13 23:14:22.135,2019-07-13 23:14:22.135,1,-71.18391,11.0,67,UTC-0400,km/h,0.0,6.0
0.0,2018-12-26 09:04:03.627,-33.453106,,SSE. 150,Parcialmente nublado,0.0,1,TWC,2018-12-26 09:04:03.635,2018-12-26 09:04:03.635,1,-70.65596,14.0,86,UTC-0300,km/h,0.0,11.0
0.0,2019-01-10 12:02:14.746,-33.49926,,SSE. 160,Soleado,0.0,1,TWC,2019-01-10 12:02:14.749,2019-01-10 12:02:14.749,1,-70.615074,16.0,70,UTC-0300,km/h,0.0,0.0
0.0,2018-12-23 00:47:09.411,-30.59931,,O. 280,Despejado,0.0,1,TWC,2018-12-23 00:47:09.413,2018-12-23 00:47:09.413,1,-71.189224,18.0,70,UTC-0300,km/h,0.0,11.0
0.0,2020-08-03 20:33:56.650,-30.596373,,O. 280,Soleado,0.0,1,TWC,2020-08-03 20:33:56.663,2020-08-03 20:33:56.663,1,-71.18955,19.0,54,UTC-0400,km/h,0.0,14.0
0.0,2018-10-25 21:15:16.446,-33.493877,,SO. 220,Nublado,0.0,1,TWC,2018-10-25 21:15:16.448,2018-10-25 21:15:16.448,1,-70.616905,21.0,38,UTC-0300,km/h,0.0,8.0
0.0,2020-02-11 22:40:15.352,-33.417614,,OSO. 250,Soleado,0.0,1,TWC,2020-02-11 22:40:15.353,2020-02-11 22:40:15.353,1,-70.60632,27.0,41,UTC-0300,km/h,0.0,11.0
0.0,2019-12-13 11:20:08.877,-33.500336,,ESE. 120,Soleado,0.0,1,TWC,2019-12-13 11:20:08.885,2019-12-13 11:20:08.885,1,-70.61301,19.0,37,UTC-0300,km/h,0.0,0.0
0.0,2019-08-20 22:35:01.936,-33.51272,,O. 280,Soleado,0.0,1,TWC,2019-08-20 22:35:01.938,2019-08-20 22:35:01.938,1,-70.60662,21.0,32,UTC-0400,km/h,0.0,3.0
0.0,2018-11-08 23:28:12.136,-33.486546,,SSO. 210,Soleado,0.0,1,TWC,2018-11-08 23:28:12.141,2018-11-08 23:28:12.141,1,-70.61958,24.0,28,UTC-0300,km/h,0.0,27.0
